PLAYER_ID,PLAYER_NAME
123,Robert Pack
76895,Bob Gross
76070,Alvin Attles
77273,Reggie King
1863,Earl Boykins
78437,Darrell Walker
201574,Jason Thompson
76444,Michael Cooper
77548,Mccoy McLemore
201980,Danny Green
77087,Geoff Huston
76661,Joe Ellis
76085,James Bailey
76105,Jim Barnes
76977,Tom Hawkins
201577,Robin Lopez
76082,John Bagley
174,John Battle
101110,Martell Webster
2199,Tyson Chandler
77998,Dave Robisch
78395,Darnell Valentine
101132,Linas Kleiza
76012,Don Adams
417,Sam Mitchell
78225,Odie Spears
76985,Garfield Heard
101138,Brandon Bass
201150,Spencer Hawes
76290,Joe Bryant
718,Gary Trent
2203,Shane Battier
682,Bob Sura
200826,J.J. Barea
2564,Boris Diaw
1899,James Posey
378,Craig Ehlo
677,Eric Williams
76583,James Donaldson
76108,John Barnhill
201573,Jerryd Bayless
53,Mario Elie
76162,Henry Bibby
77034,Craig Hodges
76453,Dave Corzine
77817,Billy Paultz
2224,Jamaal Tinsley
1731,Tyronn Lue
283,Lindsey Hunter
78495,Walt Wesley
2566,Travis Outlaw
76471,Charlie Criss
462,J.R. Reid
2413,Juan Dixon
77082,Rod Hundley
76971,Steve Hawes
76379,Don Chaney
2031,Stromile Swift
2748,Dorell Wright
2757,Beno Udrih
422,Avery Johnson
77394,Earl Lloyd
77516,Tim McCormick
965,Derek Fisher
2553,Jarvis Hayes
2554,Mickael Pietrus
76402,Jim Cleamons
77323,Kevin Kunnert
2584,Willie Green
77146,Frank Johnson
201162,Jared Dudley
1709,Michael Olowokandi
78125,Charlie Share
76458,Mel Counts
78375,Trent Tucker
201956,Omri Casspi
76296,Quinn Buckner
77754,Mike O'Koren
77636,Otto Moore
1504,Danny Fortson
78245,Larry Steele
2754,Tony Allen
2404,Chris Wilcox
76516,Brad Davis
2440,Matt Barnes
1548,Mark Blount
1474,Larry Krystkowiak
93,Hubert Davis
77133,Charlie Johnson
77182,Dwight Jones
77582,Joe Meriweather
77205,Eddie Jordan
2568,Carlos Delfino
762,Shawn Bradley
77553,Tom McMillen
77551,Jack McMahon
703,Kurt Thomas
76160,Al Bianchi
201960,DeMarre Carroll
143,Terry Dehere
77547,Billy McKinney
77537,Dick McGuire
77311,Jim Krebs
201175,Glen Davis
278,Stacey Augmon
76616,Mike Dunleavy
2209,Vladimir Radmanovic
77722,Chuck Noble
78059,Mike Sanders
905,Dale Davis
953,Lorenzen Wright
201578,Marreese Speights
930,Kenny Gattison
78,LaSalle Thompson
935,Bryon Russell
202,Gary Grant
76257,Allan Bristow
76441,Wayne Cooper
201941,Jordan Hill
2605,Marquis Daniels
78537,Jeff Wilkins
101128,Francisco Garcia
76590,Leon Douglas
77484,Wes Matthews
201978,Chase Budinger
201988,Patty Mills
202335,Patrick Patterson
200758,Ronnie Brewer
201580,JaVale McGee
76740,Fred Foster
78190,Greg Smith
673,Alan Henderson
178,Olden Polynice
2617,Udonis Haslem
76331,Bill Calhoun
76806,John Gianelli
902,Bimbo Coles
76647,Johnny Egan
76015,Rick Adelman
78279,Jon Sundvold
77162,Ollie Johnson
77357,Clyde Lee
7,Dan Schayes
200770,Jordan Farmar
177,Muggsy Bogues
200748,Tyrus Thomas
2223,Samuel Dalembert
76686,Mike Evans
200782,PJ Tucker
78485,Bob Weiss
200783,Craig Smith
77658,Erwin Mueller
200769,Shannon Brown
77235,Rich Kelley
1134,Ike Austin
1498,Antonio Daniels
696,Travis Best
76822,Mike Glenn
77984,Rick Robey
1065,Erick Strickland
2446,Rasual Butler
201949,James Johnson
201961,Wayne Ellington
15,Eric Piatkowski
2036,Chris Mihm
76876,Sidney Green
2067,Eddie House
77733,Willie Norwood
101161,Amir Johnson
2410,Fred Jones
202325,Wesley Johnson
76771,Mike Gale
76276,John Brown
81,Jeff Grayer
1456,Randy Wittman
77917,Clifford Ray
2742,Sebastian Telfair
77188,K.C. Jones
1000,Shandon Anderson
956,Erick Dampier
243,Aaron McKie
77962,Pat Riley
76899,Ernie Grunfeld
932,Oliver Miller
970,Othella Harrington
78592,Lee Winfield
23,Dennis Rodman
77364,Ron Lee
1510,Brevin Knight
420,Jayson Williams
679,Jason Caffey
122,Fred Roberts
246,Greg Anderson
1727,Pat Garrity
2760,Anderson Varejao
21,Greg Anthony
262,Michael Cage
202329,Al-Farouq Aminu
201228,C.J. Watson
76944,Bill Hanzlik
76192,Tom Boerwinkle
2048,Jamaal Magloire
446,Lucious Harris
26,Luc Longley
77270,Jim King
2484,Devin Brown
77820,John Paxson
2052,DeShawn Stevenson
77093,Darrall Imhoff
76962,Bob Harrison
689,Theo Ratliff
78115,George Senesky
77862,Dave Piontek
78481,Marvin Webster
2060,Marko Jaric
77377,Cliff Levingston
201148,Brandan Wright
355,Vincent Askew
1908,Jumaine Jones
2585,Zaza Pachulia
78442,Wally Walker
128,David Benoit
198,Danny Ferry
202344,Trevor Booker
927,John Salley
78440,Kenny Walker
109,Robert Horry
77950,Clint Richardson
461,Popeye Jones
76242,Mike Bratz
2039,Keyon Dooling
202389,Timofey Mozgov
328,Rick Mahorn
216,Brian Shaw
78146,Jerry Sichting
76317,Don Buse
77839,Jim Petersen
2443,Darius Songaila
76942,Bob Hansen
77024,Armond Hill
239,Darrick Martin
164,Chris Childs
727,Eric Snow
897,Tim Perry
77873,Ben Poquette
202334,Ed Davis
1725,Rasho Nesterovic
1506,Austin Croshere
2217,Brendan Haywood
291,Ed Pinckney
400,Derek Strong
201971,DeJuan Blair
201575,Brandon Rush
76247,Randy Breuer
201946,Tyler Hansbrough
76403,John Clemens
77106,Phil Jackson
76525,Jim Davis
2743,Kris Humphries
78195,Larry Smith
2574,Jason Kapono
201589,Darrell Arthur
2230,Maurice Evans
76442,Chuck Cooper
76694,Mike Farmer
2198,Kwame Brown
2306,Carlos Arroyo
175,Alton Lister
202087,Alonzo Gee
248,George Lynch
1800,Damon Jones
966,Jerome Williams
76289,Emmette Bryant
2679,Matt Carroll
2733,Shaun Livingston
958,Vitaly Potapenko
78516,Jerome Whitehead
2768,Chris Duhon
458,Howard Eisley
2581,Steve Blake
202397,Ish Smith
43,Chris Whitney
351,Stacey King
78460,Cornell Warner
201160,Jason Smith
194,Anthony Bowie
77719,Kurt Nimphius
78436,Foots Walker
426,Terry Davis
2248,Earl Watson
76734,Don Ford
2457,Jannero Pargo
273,Duane Ferrell
2427,Roger Mason Jr.
2586,Keith Bogans
2863,Damien Wilkins
42,Monty Williams
76431,Lester Conner
306,Steve Colter
2740,Andris Biedrins
386,Elliot Perry
201601,Luc Mbah a Moute
140,Donald Royal
369,Charlie Ward
399,Sean Rooks
78606,Dave Wohl
201973,Jonas Jerebko
763,Tony Massenburg
77409,Jim Loscutoff
77175,Caldwell Jones
201229,Anthony Tolliver
77944,Kevin Restani
990,Malik Rose
77578,Dean Meminger
201967,Dante Cunningham
77259,Toby Kimball
76567,Coby Dietrick
1499,Tony Battie
1477,Bruce Bowen
78381,Jeff Turner
457,Andrew Lang
2545,Darko Milicic
78577,Bill Willoughby
78400,Jan Van Breda Kolff
70,Steve Kerr
76937,Alex Hannum
76631,Mark Eaton
2555,Nick Collison
202338,Kevin Seraphin
203,Nate McMillan
200757,Thabo Sefolosha
359,Chucky Brown
85,Brent Price
38,Brad Lohaus
2588,Matt Bonner
76830,Glen Gondrezick
76248,Jim Brewer
76908,Matt Guokas
2239,Trenton Hassell
1737,Nazr Mohammed
1630,Mikki Moore
77443,John Mahnken
1425,Aaron Williams
1112,Ben Wallace
468,Jon Barry
770,Mark West
201585,Kosta Koufos
2041,Etan Thomas
77334,Mark Landsberger
101131,Jason Maxiell
766,David Wingate
63,Michael Smith
1904,Devean George
1533,Anthony Johnson
76045,Richard Anderson
1114,Jaren Jackson
2567,Brian Cook
77316,Steve Kuberski
380,Tony Smith
1509,Kelvin Cato
77927,Hub Reed
697,Fred Hoiberg
448,Bo Outlaw
201600,Omer Asik
201177,Josh McRoberts
95,Mark Bryant
78014,Tree Rollins
78579,George Wilson
2365,Chris Andersen
2570,Kendrick Perkins
77136,Clemon Johnson
2563,Dahntay Jones
940,Earl Cureton
76330,Corky Calhoun
78084,Dale Schlueter
955,Samaki Walker
61,Carl Herrera
76518,Charlie Davis
2756,Sasha Vujacic
672,Matt Bullard
78539,Arthur Williams
76436,Jeff Cook
67,Tom Hammonds
2592,James Jones
280,Felton Spencer
77905,Kurt Rambis
76231,Dudley Bradley
101133,Ian Mahinmi
962,Walter McCarty
195,Lee Mayberry
281,Scott Williams
78423,Danny Vranes
983,Moochie Norris
76889,Paul Griffin
76618,T.R. Dunn
76716,Hank Finkel
1761,Greg Buckner
228,Adam Keefe
77032,Lew Hitch
1479,Mike Brown
2059,Eduardo Najera
78095,Alvin Scott
2562,Sasha Pavlovic
1720,Michael Doleac
1902,Jeff Foster
190,Duane Causwell
2124,Malik Allen
418,Scott Brooks
202687,Bismack Biyombo
170,Joe Kleine
77149,George Johnson
1853,Anthony Carter
753,Randy Brown
76078,Dennis Awtrey
692,Andrew DeClercq
2407,Jared Jeffries
1960,Milt Palacio
1714,Robert Traylor
78378,Elston Turner
1730,Brian Skinner
781,Will Perdue
2575,Luke Walton
2429,Dan Gadzuric
101142,Ronny Turiaf
200779,Steve Novak
101130,Johan Petro
731,Greg Ostertag
2073,Brian Cardinal
600010,Len Elmore
82,Bill Wennington
78633,Danny Young
2212,Steven Hunter
77,Doug Overton
402,Jon Koncak
688,Michael Curry
1521,Jacque Vaughn
376,Eric Montross
1513,Scot Pollard
77092,Marc Iavaroni
685,Cherokee Parks
432,Pete Chilcutt
341,Joe Wolf
1909,Scott Padgett
911,Ervin Johnson
287,Eric Leckner
1502,Adonal Foyle
2624,Quinton Ross
2501,Reggie Evans
2063,Jake Voskuhl
1559,Adrian Griffin
180,John Crotty
77623,Paul Mokeski
201,Chris Dudley
116,David Wood
2038,Joel Przybilla
323,Greg Foster
2260,Jarron Collins
173,Keith Askins
77331,John Lambert
1563,Kevin Ollie
101236,Chuck Hayes
101179,Ronnie Price
200797,Ryan Hollins
1922,Francisco Elson
200811,Lou Amundson
690,Don Reid
2215,Jason Collins
916,Corie Blount
2767,Royal Ivey
146,Jud Buechler
76365,Harvey Catchings
2243,Brian Scalabrine
76968,Scott Hastings
1032,Darvin Ham
77697,Ed Nealy
29,Jim McIlvaine
1763,Ryan Bowen
76195,Manute Bol
1123,Greg Kite
279,Charles Jones
201202,Joel Anthony
2058,Mark Madsen
1068,Greg Dreiling
2205,DeSagana Diop
1913,Michael Ruffin
1626170,Jerian Grant
203939,Dwight Powell
204038,Langston Galloway
202379,Jeremy Evans
202718,Chandler Parsons
203098,John Jenkins
204001,Kristaps Porzingis
202498,Lance Thomas
203138,Hollis Thompson
202355,Hassan Whiteside
204456,T.J. McConnell
203477,Isaiah Canaan
204020,Tyler Johnson
203924,Jerami Grant
203496,Robert Covington
203917,Nik Stauskas
1626196,Josh Richardson
1626159,Justise Winslow
203457,Nerlens Noel
1626143,Jahlil Okafor
203901,Elfrid Payton
203894,Shabazz Napier
203095,Evan Fournier
203506,Victor Oladipo
1626209,Mario Hezonja
203960,JaKarr Sampson
1626158,Richaun Holmes
203473,Dewayne Dedmon
202699,Tobias Harris
203932,Aaron Gordon
1626169,Stanley Johnson
203210,JaMychal Green
1626199,Darrun Hilliard
203382,Aron Baynes
203083,Andre Drummond
203484,Kentavious Caldwell-Pope
203521,Matthew Dellavedova
202681,Kyrie Irving
202697,Iman Shumpert
203105,Festus Ezeli
204060,Joe Ingles
203526,Raul Neto
203497,Rudy Gobert
203918,Rodney Hood
203504,Trey Burke
202692,Alec Burks
203110,Draymond Green
203546,Ian Clark
203948,Johnny O'Bryant III
203507,Giannis Antetokounmpo
203487,Michael Carter-Williams
1626173,Rashad Vaughn
203949,James Michael McAdoo
203114,Khris Middleton
203101,Miles Plumlee
203953,Jabari Parker
203084,Harrison Barnes
1626144,Emmanuel Mudiay
203115,Will Barton
203914,Gary Harris
203999,Nikola Jokic
203086,Meyers Leonard
203944,Julius Randle
203459,Allen Crabbe
203486,Mason Plumlee
1626148,Anthony Brown
203527,Ryan Kelly
203135,Robert Sacre
203943,Noah Vonleh
204025,Tim Frazier
203081,Damian Lillard
203468,CJ McCollum
203903,Jordan Clarkson
1626156,D'Angelo Russell
1626273,Marcelo Huertas
1626192,Pat Connaughton
202709,Cory Joseph
203082,Terrence Ross
203898,Tyler Ennis
203089,John Henson
203476,Gorgui Dieng
203952,Andrew Wiggins
1626157,Karl-Anthony Towns
202357,Nemanja Bjelica
203897,Zach LaVine
203498,Shabazz Muhammad
204014,Damjan Rudez
203186,Willie Reed
203940,Adreian Payne
202388,Donald Sloan
202711,Bojan Bogdanovic
201937,Ricky Rubio
202730,Lavoy Allen
203922,Glenn Robinson III
1626147,Justin Anderson
1626202,Joe Young
203080,Thomas Robinson
203499,Shane Larkin
202362,Lance Stephenson
203085,Austin Rivers
1626204,Larry Nance Jr.
1626185,Jarell Martin
203530,Joffrey Lauvergne
1626174,Christian Wood
203991,Clint Capela
201976,Patrick Beverley
203093,Terrence Jones
203900,Markel Brown
1626171,Bobby Portis
1626167,Myles Turner
203503,Tony Snell
202710,Jimmy Butler
203926,Doug McDermott
202703,Nikola Mirotic
203524,Solomon Hill
202700,Donatas Motiejunas
203463,Ben McLemore
203112,Quincy Acy
203090,Maurice Harkless
202685,Jonas Valanciunas
1626181,Norman Powell
203481,Jeff Withey
1626146,Cliff Alexander
203508,Sergey Karasev
203458,Alex Len
203141,Mirza Teletovic
202688,Brandon Knight
1626164,Devin Booker
203462,Archie Goodwin
203933,TJ Warren
202720,Jon Leuer
203500,Steven Adams
1626166,Cameron Payne
203460,Andre Roberson
203079,Dion Waiters
201962,Toney Douglas
203076,Anthony Davis
202708,Norris Cole
201582,Alexis Ajinca
203145,Kent Bazemore
203471,Dennis Schroder
201168,Tiago Splitter
203488,Mike Muscala
203934,Lamar Patterson
203501,Tim Hardaway Jr.
202714,Shelvin Mack
203200,Justin Holiday
203118,Mike Scott
203946,Cameron Bairstow
202734,E'Twaun Moore
203512,Lucas Nogueira
202696,Nikola Vucevic
203094,Andrew Nicholson
203493,Reggie Bullock
203915,Spencer Dinwiddie
203096,Jared Sullinger
1626154,RJ Hunter
203923,James Young
203092,Tyler Zeller
203482,Kelly Olynyk
203109,Jae Crowder
1626179,Terry Rozier
203490,Otto Porter Jr.
203078,Bradley Beal
202066,Garrett Temple
203919,Jordan Adams
201593,Nikola Pekovic
1626161,Willie Cauley-Stein
202713,Kyle Singler
1626149,Montrezl Harrell
203937,Kyle Anderson
203613,Jonathon Simmons
202695,Kawhi Leonard
1626246,Boban Marjanovic
203124,Kyle O'Quinn
204067,Jarell Eddie
1626162,Kelly Oubre Jr.
203552,Seth Curry
1626168,Trey Lyles
1626178,Rondae Hollis-Jefferson
1626163,Frank Kaminsky
203087,Jeremy Lamb
203469,Cody Zeller
203935,Marcus Smart
203148,Brian Roberts
203584,Troy Daniels
203798,PJ Hairston
203088,Kendall Marshall
203187,Chris Johnson
201619,Sasha Kaun
1626153,Delon Wright
202341,James Anderson
202337,Luke Babbitt
202332,Cole Aldrich
203143,Pablo Prigioni
202353,Tibor Pleiss
203100,Tony Wroten
203909,KJ McDaniels
203906,Devyn Marble
203485,Lorenzo Brown
1626151,Aaron Harrison
203516,James Ennis III
203912,CJ Wilcox
203961,Eric Moreland
204028,Tarik Black
203994,Jusuf Nurkic
203956,Mitch McGary
1626245,Cristiano Felicio
203921,Cleanthony Early
203996,Damien Inglis
1626175,Jordan Mickey
203998,Bruno Caboclo
1626183,Branden Dawson
1626257,Salah Mejri
203930,Sean Kilpatrick
1626145,Tyus Jones
203955,Bryce Cotton
1626242,Luis Montero
204002,Edy Tavares
203963,Shayne Whittington
